X,Y,Z,azimuth,dip,polarity,formation
5530031.338,7416040.81,232.26,0,0,1,S1
5530031.338,7416040.81,231.95999999999998,0,0,1,S2
5530031.338,7416040.81,231.16,0,0,1,S2
5530031.338,7416040.81,230.76,0,0,1,S2
5530031.338,7416040.81,230.16,0,0,1,S2
5530031.338,7416040.81,229.76,0,0,1,S20
5530031.338,7416040.81,228.56,0,0,1,S21
5530031.338,7416040.81,226.85999999999999,0,0,1,S2
5530031.338,7416040.81,226.56,0,0,1,S21
5530031.338,7416040.81,225.16,0,0,1,S3
5530031.338,7416040.81,224.45999999999998,0,0,1,none
5530045.859,7416041.031,231.88,0,0,1,S1
5530045.859,7416041.031,231.68,0,0,1,S2
5530045.859,7416041.031,231.18,0,0,1,S2
5530045.859,7416041.031,230.48,0,0,1,S2
5530045.859,7416041.031,225.68,0,0,1,S3
5530045.859,7416041.031,229.68,0,0,1,S21
5530045.859,7416041.031,226.98,0,0,1,S2
5530045.859,7416041.031,223.98,0,0,1,S3
5530045.859,7416041.031,221.78,0,0,1,none
5530020.195,7416063.026,232.59,0,0,1,S1
5530020.195,7416063.026,232.39000000000001,0,0,1,S2
5530020.195,7416063.026,231.49,0,0,1,S2
5530020.195,7416063.026,230.99,0,0,1,S2
5530020.195,7416063.026,230.39000000000001,0,0,1,S21
5530020.195,7416063.026,229.79,0,0,1,S21
5530020.195,7416063.026,227.09,0,0,1,S2
5530020.195,7416063.026,226.29,0,0,1,S2
5530020.195,7416063.026,225.69,0,0,1,S3
5530020.195,7416063.026,225.09,0,0,1,S3
5530020.195,7416063.026,223.19,0,0,1,none
5530001.722,7416059.969,232.85,0,0,1,S1
5530001.722,7416059.969,232.65,0,0,1,S2
5530001.722,7416059.969,231.35,0,0,1,S2
5530001.722,7416059.969,230.85,0,0,1,S2
5530001.722,7416059.969,230.45,0,0,1,S2
5530001.722,7416059.969,230.15,0,0,1,S21
5530001.722,7416059.969,229.85,0,0,1,S21
5530001.722,7416059.969,229.45,0,0,1,S21
5530001.722,7416059.969,227.35,0,0,1,S2
5530001.722,7416059.969,220.85,0,0,1,none
5530001.722,7416059.969,225.75,0,0,1,S3
5530001.722,7416059.969,221.54999999999998,0,0,1,S3
5529967.167,7416072.532,233.1,0,0,1,S1
5529967.167,7416072.532,232.9,0,0,1,S2
5529967.167,7416072.532,232.29999999999998,0,0,1,S2
5529967.167,7416072.532,232,0,0,1,S2
5529967.167,7416072.532,231.6,0,0,1,S2
5529967.167,7416072.532,231.2,0,0,1,S2
5529967.167,7416072.532,230.9,0,0,1,S21
5529967.167,7416072.532,230.2,0,0,1,S2
5529967.167,7416072.532,229.6,0,0,1,S21
5529967.167,7416072.532,228.1,0,0,1,S21
5529967.167,7416072.532,227.6,0,0,1,S2
5529967.167,7416072.532,225.79999999999998,0,0,1,S3
5529967.167,7416072.532,223.7,0,0,1,S3
5529967.167,7416072.532,223,0,0,1,S3
5529967.167,7416072.532,218.1,0,0,1,S3
5529967.167,7416072.532,216,0,0,1,none
5529959.407,7416085.434,233.18,0,0,1,S1
5529959.407,7416085.434,232.88,0,0,1,S2
5529959.407,7416085.434,232.58,0,0,1,S2
5529959.407,7416085.434,232.28,0,0,1,S2
5529959.407,7416085.434,231.68,0,0,1,S2
5529959.407,7416085.434,231.18,0,0,1,S2
5529959.407,7416085.434,230.28,0,0,1,S20
5529959.407,7416085.434,229.48000000000002,0,0,1,S21
5529959.407,7416085.434,226.78,0,0,1,S2
5529959.407,7416085.434,226.08,0,0,1,S3
5529959.407,7416085.434,224.78,0,0,1,S3
5529959.407,7416085.434,219.48000000000002,0,0,1,S3
5529959.407,7416085.434,218.88,0,0,1,S3
5529959.407,7416085.434,218.08,0,0,1,S3
5529959.407,7416085.434,213.28,0,0,1,none
5529991.197,7416077.535,232.99,0,0,1,S1
5529991.197,7416077.535,232.79000000000002,0,0,1,S2
5529991.197,7416077.535,231.59,0,0,1,S2
5529991.197,7416077.535,230.89000000000001,0,0,1,S2
5529991.197,7416077.535,230.49,0,0,1,S2
5529991.197,7416077.535,229.69,0,0,1,S21
5529991.197,7416077.535,228.89000000000001,0,0,1,S21
5529991.197,7416077.535,227.29000000000002,0,0,1,S2
5529991.197,7416077.535,217.99,0,0,1,none
5529991.197,7416077.535,225.29000000000002,0,0,1,S3
5529991.197,7416077.535,222.39000000000001,0,0,1,S3
