X,Y,Z,formation
5530031.338,7416040.81,232.26,S1
5530031.338,7416040.81,231.95999999999998,S2
5530031.338,7416040.81,231.16,S2
5530031.338,7416040.81,230.76,S2
5530031.338,7416040.81,230.16,S2
5530031.338,7416040.81,229.76,S20
5530031.338,7416040.81,228.56,S21
5530031.338,7416040.81,226.85999999999999,S2
5530031.338,7416040.81,226.56,S21
5530031.338,7416040.81,225.16,S3
5530031.338,7416040.81,224.45999999999998,none
5530045.859,7416041.031,231.88,S1
5530045.859,7416041.031,231.68,S2
5530045.859,7416041.031,231.18,S2
5530045.859,7416041.031,230.48,S2
5530045.859,7416041.031,225.68,S3
5530045.859,7416041.031,229.68,S21
5530045.859,7416041.031,226.98,S2
5530045.859,7416041.031,223.98,S3
5530045.859,7416041.031,221.78,none
5530020.195,7416063.026,232.59,S1
5530020.195,7416063.026,232.39000000000001,S2
5530020.195,7416063.026,231.49,S2
5530020.195,7416063.026,230.99,S2
5530020.195,7416063.026,230.39000000000001,S21
5530020.195,7416063.026,229.79,S21
5530020.195,7416063.026,227.09,S2
5530020.195,7416063.026,226.29,S2
5530020.195,7416063.026,225.69,S3
5530020.195,7416063.026,225.09,S3
5530020.195,7416063.026,223.19,none
5530001.722,7416059.969,232.85,S1
5530001.722,7416059.969,232.65,S2
5530001.722,7416059.969,231.35,S2
5530001.722,7416059.969,230.85,S2
5530001.722,7416059.969,230.45,S2
5530001.722,7416059.969,230.15,S21
5530001.722,7416059.969,229.85,S21
5530001.722,7416059.969,229.45,S21
5530001.722,7416059.969,227.35,S2
5530001.722,7416059.969,220.85,none
5530001.722,7416059.969,225.75,S3
5530001.722,7416059.969,221.54999999999998,S3
5529967.167,7416072.532,233.1,S1
5529967.167,7416072.532,232.9,S2
5529967.167,7416072.532,232.29999999999998,S2
5529967.167,7416072.532,232,S2
5529967.167,7416072.532,231.6,S2
5529967.167,7416072.532,231.2,S2
5529967.167,7416072.532,230.9,S21
5529967.167,7416072.532,230.2,S2
5529967.167,7416072.532,229.6,S21
5529967.167,7416072.532,228.1,S21
5529967.167,7416072.532,227.6,S2
5529967.167,7416072.532,225.79999999999998,S3
5529967.167,7416072.532,223.7,S3
5529967.167,7416072.532,223,S3
5529967.167,7416072.532,218.1,S3
5529967.167,7416072.532,216,none
5529959.407,7416085.434,233.18,S1
5529959.407,7416085.434,232.88,S2
5529959.407,7416085.434,232.58,S2
5529959.407,7416085.434,232.28,S2
5529959.407,7416085.434,231.68,S2
5529959.407,7416085.434,231.18,S2
5529959.407,7416085.434,230.28,S20
5529959.407,7416085.434,229.48000000000002,S21
5529959.407,7416085.434,226.78,S2
5529959.407,7416085.434,226.08,S3
5529959.407,7416085.434,224.78,S3
5529959.407,7416085.434,219.48000000000002,S3
5529959.407,7416085.434,218.88,S3
5529959.407,7416085.434,218.08,S3
5529959.407,7416085.434,213.28,none
5529991.197,7416077.535,232.99,S1
5529991.197,7416077.535,232.79000000000002,S2
5529991.197,7416077.535,231.59,S2
5529991.197,7416077.535,230.89000000000001,S2
5529991.197,7416077.535,230.49,S2
5529991.197,7416077.535,229.69,S21
5529991.197,7416077.535,228.89000000000001,S21
5529991.197,7416077.535,227.29000000000002,S2
5529991.197,7416077.535,217.99,none
5529991.197,7416077.535,225.29000000000002,S3
5529991.197,7416077.535,222.39000000000001,S3
